Faculty,FacultyId,Campus
Facultad de Formación de Profesorado y de la Educación,54e4c5aaf97d3a51170a6226192ee88d,Cantoblanco
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Derecho,4f8e52ed3885c6ace7bb39c960dc686c,Cantoblanco
Facultad de Derecho,4f8e52ed3885c6ace7bb39c960dc686c,Cantoblanco
Facultad de Formación de Profesorado y de la Educación,54e4c5aaf97d3a51170a6226192ee88d,Cantoblanco
Facultad de Ciencias Económicas y Empresariales,bff910f9ba5dccd53c00a401c4001cc5,Cantoblanco
Facultad de Ciencias Económicas y Empresariales,bff910f9ba5dccd53c00a401c4001cc5,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Escuela Politécnica Superior,a48dd02c46a750bf60bb53e01772de53,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Formación de Profesorado y de la Educación,54e4c5aaf97d3a51170a6226192ee88d,Cantoblanco
Facultad de Formación de Profesorado y de la Educación,54e4c5aaf97d3a51170a6226192ee88d,Cantoblanco
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Escuela Politécnica Superior,a48dd02c46a750bf60bb53e01772de53,Cantoblanco
Facultad de Medicina,4757c29622798de869a1522d85f29552,Medicina
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Facultad de Medicina,4757c29622798de869a1522d85f29552,Medicina
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Facultad de Formación de Profesorado y de la Educación,54e4c5aaf97d3a51170a6226192ee88d,Cantoblanco
Escuela Politécnica Superior,a48dd02c46a750bf60bb53e01772de53,Cantoblanco
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Facultad de Ciencias Económicas y Empresariales,bff910f9ba5dccd53c00a401c4001cc5,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Escuela Universitaria de Enfermería Jimenez Diaz,d84163facc09aa7ddd24a22d98e2cd7c,"Campus del centro ""Escuela de Enfermería de La Fundación Jiménez Díaz"""
Facultad de Derecho,4f8e52ed3885c6ace7bb39c960dc686c,Cantoblanco
Facultad de Ciencias Económicas y Empresariales,bff910f9ba5dccd53c00a401c4001cc5,Cantoblanco
Facultad de Psicología,b877e126a4742af7841e5f86b0d37f58,Cantoblanco
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Facultad de Ciencias Económicas y Empresariales,bff910f9ba5dccd53c00a401c4001cc5,Cantoblanco
Facultad de Formación de Profesorado y de la Educación,54e4c5aaf97d3a51170a6226192ee88d,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Facultad de Medicina,4757c29622798de869a1522d85f29552,Medicina
Escuela Politécnica Superior,a48dd02c46a750bf60bb53e01772de53,Cantoblanco
Facultad de Psicología,b877e126a4742af7841e5f86b0d37f58,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Centro Superior de Estudios Universitarios La Salle,4986fad76e460f30f026bd0410e42ccf,"Campus del centro ""Centro Superior de Estudios Universitarios La Salle"""
Escuela Universitaria de Fisioterapia de la ONCE,aecb76e54704f650646c68826f11a95d,"Campus del centro ""Escuela Universitaria de Fisioterapia de La ONCE"""
Escuela Universitaria de Fisioterapia de la ONCE,aecb76e54704f650646c68826f11a95d,"Campus del centro ""Escuela Universitaria de Fisioterapia de La ONCE"""
Facultad de Formación de Profesorado y de la Educación,54e4c5aaf97d3a51170a6226192ee88d,Cantoblanco
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Escuela Politécnica Superior,a48dd02c46a750bf60bb53e01772de53,Cantoblanco
Escuela Politécnica Superior,a48dd02c46a750bf60bb53e01772de53,Cantoblanco
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Facultad de Formación de Profesorado y de la Educación,54e4c5aaf97d3a51170a6226192ee88d,Cantoblanco
Facultad de Psicología,b877e126a4742af7841e5f86b0d37f58,Cantoblanco
Facultad de Formación de Profesorado y de la Educación,54e4c5aaf97d3a51170a6226192ee88d,Cantoblanco
Facultad de Medicina,4757c29622798de869a1522d85f29552,Medicina
Facultad de Derecho,4f8e52ed3885c6ace7bb39c960dc686c,Cantoblanco
Centro Superior de Estudios Universitarios La Salle,4986fad76e460f30f026bd0410e42ccf,"Campus del centro ""Centro Superior de Estudios Universitarios La Salle"""
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Filosofía y Letras,f43f860da823dbfc74f729d203acd090,Cantoblanco
Facultad de Ciencias Económicas y Empresariales,bff910f9ba5dccd53c00a401c4001cc5,Cantoblanco
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Facultad de Ciencias,ba5ac6ee64678d93680bee3aac0184e5,Cantoblanco
Facultad de Psicología,b877e126a4742af7841e5f86b0d37f58,Cantoblanco
